number,value,datetime_start,datetime_complete,duration,params_attention_dropout,params_attention_heads,params_batch_size,params_embedding_size,params_ff_dropout,params_learning_rate,params_transformer_depth,state
58,inf,2025-10-16 22:20:13.169677,2025-10-16 22:20:13.171888,0 days 00:00:00.002211,0.11177491174944493,4,128,128,0.2755545839774132,6.778305674309874e-05,7,COMPLETE
59,inf,2025-10-16 22:20:13.172117,2025-10-16 22:20:13.174316,0 days 00:00:00.002199,0.15481147566202305,2,64,16,0.21761240580279206,0.00045206619230793606,4,COMPLETE
60,inf,2025-10-16 22:20:13.174575,2025-10-16 22:20:13.177091,0 days 00:00:00.002516,0.24560096570629983,8,256,32,0.06466607813328401,0.0006680985521345067,5,COMPLETE
61,inf,2025-10-16 22:20:13.177352,2025-10-16 22:20:13.179583,0 days 00:00:00.002231,0.023833164976001617,16,64,32,0.04821384576689777,0.002155166135829083,3,COMPLETE
62,inf,2025-10-16 22:20:13.179839,2025-10-16 22:20:13.182050,0 days 00:00:00.002211,0.00042945639726385326,16,64,32,0.11431120366099101,0.0011771385747589365,8,COMPLETE
63,inf,2025-10-16 22:20:13.182284,2025-10-16 22:20:13.184958,0 days 00:00:00.002674,0.06779797250501916,16,64,32,0.00033522717920434104,0.002971739079514718,2,COMPLETE
64,inf,2025-10-16 22:20:13.185259,2025-10-16 22:20:13.187644,0 days 00:00:00.002385,0.09553023479529296,16,64,128,0.0316215595038715,0.0014216526124104032,3,COMPLETE
65,inf,2025-10-16 22:20:13.187892,2025-10-16 22:20:13.190230,0 days 00:00:00.002338,0.042182549296652536,16,64,32,0.019148942750445395,0.00023796629007809326,4,COMPLETE
66,inf,2025-10-16 22:20:13.190476,2025-10-16 22:20:13.193541,0 days 00:00:00.003065,0.4514365747643911,8,64,16,0.1505957685291463,3.261494167717678e-05,2,COMPLETE
67,inf,2025-10-16 22:20:13.193793,2025-10-16 22:20:13.196042,0 days 00:00:00.002249,0.17692134615302693,16,128,128,0.17645301719967119,0.00037007731146185887,3,COMPLETE
68,inf,2025-10-16 22:20:13.196280,2025-10-16 22:20:13.198541,0 days 00:00:00.002261,0.20531183870922826,16,512,64,0.23133023531546706,0.0005351187140220817,7,COMPLETE
69,inf,2025-10-16 22:20:13.198843,2025-10-16 22:20:13.201297,0 days 00:00:00.002454,0.2834851600027456,8,64,16,0.07259612145092134,0.0007542848188795617,6,COMPLETE
70,inf,2025-10-16 22:20:13.201554,2025-10-16 22:20:13.203840,0 days 00:00:00.002286,0.13591513917353082,4,64,32,0.20628784559508523,0.00029206663603147044,3,COMPLETE
71,inf,2025-10-16 22:20:13.204069,2025-10-16 22:20:13.206437,0 days 00:00:00.002368,0.3815445240578095,4,128,32,0.09579668086420426,0.00018876182336835352,8,COMPLETE
72,inf,2025-10-16 22:20:13.206672,2025-10-16 22:20:13.209254,0 days 00:00:00.002582,0.3953635336544249,4,128,32,0.11152455453686358,6.0943904163578205e-05,4,COMPLETE
73,inf,2025-10-16 22:20:13.209506,2025-10-16 22:20:13.211841,0 days 00:00:00.002335,0.3120301061770261,4,128,32,0.08542992813773335,0.00014853494419998035,8,COMPLETE
74,inf,2025-10-16 22:20:13.212075,2025-10-16 22:20:13.214346,0 days 00:00:00.002271,0.4254131143429637,2,128,128,0.25804401539086114,0.00020910122186216582,7,COMPLETE
75,inf,2025-10-16 22:20:13.214567,2025-10-16 22:20:13.217022,0 days 00:00:00.002455,0.22741785257292052,8,256,32,0.2964453735719456,9.851527821311708e-05,4,COMPLETE
76,inf,2025-10-16 22:20:13.217279,2025-10-16 22:20:13.219620,0 days 00:00:00.002341,0.4451740793750829,4,512,16,0.13553629068796721,0.0017279314430952513,3,COMPLETE
77,inf,2025-10-16 22:20:13.219836,2025-10-16 22:20:13.222227,0 days 00:00:00.002391,0.2568854903810467,16,128,128,0.17435502066247283,0.0001388662993674525,6,COMPLETE
78,inf,2025-10-16 22:20:13.222466,2025-10-16 22:20:13.224807,0 days 00:00:00.002341,0.03463716579844324,8,64,32,0.4655293381179032,0.004779072965110071,5,COMPLETE
79,inf,2025-10-16 22:20:13.225245,2025-10-16 22:20:13.227770,0 days 00:00:00.002525,0.01168989561761171,16,512,64,0.05074344246531198,0.0010381615425212078,2,COMPLETE
80,inf,2025-10-16 22:20:13.228028,2025-10-16 22:20:13.230445,0 days 00:00:00.002417,0.3268320885670854,8,64,16,0.3265705101457543,0.0004874682427259424,7,COMPLETE
81,inf,2025-10-16 22:20:13.230692,2025-10-16 22:20:13.233187,0 days 00:00:00.002495,0.4712256727133566,16,512,64,0.017240535964606677,0.0022362604341061264,4,COMPLETE
82,inf,2025-10-16 22:20:13.233449,2025-10-16 22:20:13.236020,0 days 00:00:00.002571,0.413441372576721,16,512,64,0.14253035931736113,0.003910826162918762,5,COMPLETE
83,inf,2025-10-16 22:20:13.236268,2025-10-16 22:20:13.238653,0 days 00:00:00.002385,0.4885072200159829,16,512,64,0.10918920186302732,0.0017043664475441364,6,COMPLETE
84,inf,2025-10-16 22:20:13.238886,2025-10-16 22:20:13.241248,0 days 00:00:00.002362,0.35792365192516945,16,512,64,0.23044042154588434,0.0012116135051043618,4,COMPLETE
85,inf,2025-10-16 22:20:13.241462,2025-10-16 22:20:13.244152,0 days 00:00:00.002690,0.39068752437310506,16,128,128,0.1616891099177837,0.009168928702187796,2,COMPLETE
86,inf,2025-10-16 22:20:13.244402,2025-10-16 22:20:13.246765,0 days 00:00:00.002363,0.29470670696197954,8,512,32,0.18489534203236468,2.088110248344807e-05,3,COMPLETE
87,inf,2025-10-16 22:20:13.247001,2025-10-16 22:20:13.249440,0 days 00:00:00.002439,0.06167217308545647,4,64,16,0.28215912948362915,5.048813556861946e-05,6,COMPLETE
88,inf,2025-10-16 22:20:13.249682,2025-10-16 22:20:13.252401,0 days 00:00:00.002719,0.45240875395238644,2,256,64,0.19781841893171145,0.00011166444009647153,4,COMPLETE
89,inf,2025-10-16 22:20:13.252706,2025-10-16 22:20:13.255151,0 days 00:00:00.002445,0.47128278057742967,16,64,128,0.2643939420825927,0.002654466893628637,5,COMPLETE
90,inf,2025-10-16 22:20:13.255405,2025-10-16 22:20:13.257980,0 days 00:00:00.002575,0.11847735747010513,8,128,32,0.20409579414358328,0.0002768080564134608,3,COMPLETE
91,inf,2025-10-16 22:20:13.258229,2025-10-16 22:20:13.261002,0 days 00:00:00.002773,0.24680913113014058,2,512,32,0.40524291593928363,8.233960283873234e-05,2,COMPLETE
92,inf,2025-10-16 22:20:13.261266,2025-10-16 22:20:13.263783,0 days 00:00:00.002517,0.16310921309352927,2,512,32,0.24784371841432423,0.00017275625595558684,2,COMPLETE
93,inf,2025-10-16 22:20:13.264024,2025-10-16 22:20:13.266589,0 days 00:00:00.002565,0.2818971471241039,2,512,32,0.4408772417094332,4.177853331767232e-05,2,COMPLETE
94,inf,2025-10-16 22:20:13.266886,2025-10-16 22:20:13.269616,0 days 00:00:00.002730,0.22392026199117654,2,512,16,0.38391120607529006,0.00012860614064260433,2,COMPLETE
95,inf,2025-10-16 22:20:13.269853,2025-10-16 22:20:13.272422,0 days 00:00:00.002569,0.20278866797578224,16,512,32,0.22548841404670847,0.00034239841696435876,3,COMPLETE
96,inf,2025-10-16 22:20:13.272699,2025-10-16 22:20:13.275870,0 days 00:00:00.003171,0.2399584063999966,8,64,128,0.08008339289898803,0.000401296609826221,6,COMPLETE
97,inf,2025-10-16 22:20:13.276187,2025-10-16 22:20:13.278896,0 days 00:00:00.002709,0.081777193855946,16,64,64,0.36713806780412916,5.818524569786658e-05,2,COMPLETE
98,inf,2025-10-16 22:20:13.279164,2025-10-16 22:20:13.281886,0 days 00:00:00.002722,0.2728326568172085,16,512,32,0.42732063975828405,7.403282850137224e-05,8,COMPLETE
99,inf,2025-10-16 22:20:13.282180,2025-10-16 22:20:13.285043,0 days 00:00:00.002863,0.19014310593022954,8,128,16,0.12277836767983913,0.00022025793761112108,5,COMPLETE
100,inf,2025-10-16 22:20:13.285353,2025-10-16 22:20:13.288017,0 days 00:00:00.002664,0.25692571629069993,4,64,128,0.3402279956030085,0.00010512377506905436,4,COMPLETE
101,inf,2025-10-16 22:20:13.288279,2025-10-16 22:20:13.290886,0 days 00:00:00.002607,0.09928230481939143,8,128,16,0.28715919639427023,1.1651430311769911e-05,8,COMPLETE
102,inf,2025-10-16 22:20:13.291169,2025-10-16 22:20:13.294264,0 days 00:00:00.003095,0.15140336772817417,8,128,16,0.31177122222400017,1.575984035302061e-05,7,COMPLETE
103,inf,2025-10-16 22:20:13.294568,2025-10-16 22:20:13.297178,0 days 00:00:00.002610,0.34504921484783124,8,128,16,0.3205777182010454,1.3187255868423741e-05,8,COMPLETE
104,inf,2025-10-16 22:20:13.297444,2025-10-16 22:20:13.300281,0 days 00:00:00.002837,0.1698727049953787,8,128,16,0.37941657194649236,2.5554673433771343e-05,8,COMPLETE
105,inf,2025-10-16 22:20:13.300588,2025-10-16 22:20:13.303189,0 days 00:00:00.002601,0.12390975776304979,16,512,32,0.34389675418566656,1.74981037841735e-05,3,COMPLETE
106,inf,2025-10-16 22:20:13.303437,2025-10-16 22:20:13.306085,0 days 00:00:00.002648,0.09924931232109369,8,256,16,0.40083748799696794,3.190384413383646e-05,7,COMPLETE
107,inf,2025-10-16 22:20:13.306342,2025-10-16 22:20:13.309177,0 days 00:00:00.002835,0.05087950795217776,2,64,64,0.29934056949710336,1.0132175694699157e-05,8,COMPLETE
108,inf,2025-10-16 22:20:13.309438,2025-10-16 22:20:13.312137,0 days 00:00:00.002699,0.03664561404092224,16,128,32,0.3534089680008066,2.1404760667627865e-05,4,COMPLETE
109,inf,2025-10-16 22:20:13.312380,2025-10-16 22:20:13.315010,0 days 00:00:00.002630,0.21579942854471862,8,64,128,0.2129191985569004,8.545298447108822e-05,6,COMPLETE
110,inf,2025-10-16 22:20:13.315243,2025-10-16 22:20:13.318088,0 days 00:00:00.002845,0.4355862730032044,4,512,16,0.41917455955586413,0.0007525487836000091,3,COMPLETE
111,inf,2025-10-16 22:20:13.318369,2025-10-16 22:20:13.321023,0 days 00:00:00.002654,0.3533957131095501,8,256,16,0.23691586702750858,0.0013841033426744461,6,COMPLETE
112,inf,2025-10-16 22:20:13.321264,2025-10-16 22:20:13.323892,0 days 00:00:00.002628,0.36972613564889434,8,256,16,0.06418489641928886,0.00921670387646048,6,COMPLETE
113,inf,2025-10-16 22:20:13.324138,2025-10-16 22:20:13.326945,0 days 00:00:00.002807,0.012791041948335418,8,256,16,0.09274792767090068,0.0010298311001107631,5,COMPLETE
114,inf,2025-10-16 22:20:13.327194,2025-10-16 22:20:13.329885,0 days 00:00:00.002691,0.14341561104208872,16,256,16,0.2653563019230579,0.007757002898063019,6,COMPLETE
115,inf,2025-10-16 22:20:13.330149,2025-10-16 22:20:13.332820,0 days 00:00:00.002671,0.32414370748052607,8,128,64,0.1042562088300601,0.0005780607136076853,5,COMPLETE
116,inf,2025-10-16 22:20:13.333078,2025-10-16 22:20:13.335891,0 days 00:00:00.002813,0.1846000947222886,16,64,32,0.12064329686980979,0.0035189652947972697,7,COMPLETE
117,inf,2025-10-16 22:20:13.336142,2025-10-16 22:20:13.338732,0 days 00:00:00.002590,0.37768871992278935,8,512,128,0.2558228949147792,0.004817958926406504,2,COMPLETE
118,inf,2025-10-16 22:20:13.338978,2025-10-16 22:20:13.341858,0 days 00:00:00.002880,0.30342989383248486,16,64,32,0.05416220807731887,0.0002584623618287779,6,COMPLETE
119,inf,2025-10-16 22:20:13.342136,2025-10-16 22:20:13.344847,0 days 00:00:00.002711,0.40982033293447834,8,128,16,0.13742370803257403,0.00031788128255354865,3,COMPLETE
120,inf,2025-10-16 22:20:13.345088,2025-10-16 22:20:13.347819,0 days 00:00:00.002731,0.08342551318311105,4,512,64,0.029101529313232562,0.00016885798334306148,6,COMPLETE
121,inf,2025-10-16 22:20:13.348072,2025-10-16 22:20:13.351030,0 days 00:00:00.002958,0.3415913267102884,8,128,32,0.4989759402398616,1.2042751412039145e-05,6,COMPLETE
122,inf,2025-10-16 22:20:13.351327,2025-10-16 22:20:13.354145,0 days 00:00:00.002818,0.3831027793390214,8,128,32,0.4756892824130473,1.3776522391558459e-05,6,COMPLETE
123,inf,2025-10-16 22:20:13.354407,2025-10-16 22:20:13.357183,0 days 00:00:00.002776,0.39933224527857036,8,128,32,0.0754908445196416,1.858160381610737e-05,7,COMPLETE
124,inf,2025-10-16 22:20:13.357586,2025-10-16 22:20:13.360369,0 days 00:00:00.002783,0.3535352678441926,8,128,32,0.33389505784269374,3.825182433779664e-05,6,COMPLETE
125,inf,2025-10-16 22:20:13.360618,2025-10-16 22:20:13.363272,0 days 00:00:00.002654,0.3323005935780487,16,64,128,0.44991347142024246,1.1560134847522166e-05,5,COMPLETE
126,inf,2025-10-16 22:20:13.363510,2025-10-16 22:20:13.366244,0 days 00:00:00.002734,0.2362885329028516,2,256,32,0.2438087707211858,6.530387284110923e-05,4,COMPLETE
127,inf,2025-10-16 22:20:13.366536,2025-10-16 22:20:13.369355,0 days 00:00:00.002819,0.36506688398938836,8,512,16,0.3723831508915373,1.504763590289908e-05,2,COMPLETE
128,inf,2025-10-16 22:20:13.369597,2025-10-16 22:20:13.372363,0 days 00:00:00.002766,0.3169509667240805,16,128,32,0.2790783565136433,0.0016541506319153504,6,COMPLETE
129,inf,2025-10-16 22:20:13.372624,2025-10-16 22:20:13.375616,0 days 00:00:00.002992,0.027294159937050665,8,64,64,0.14679717100610834,0.00019825589679758193,2,COMPLETE
130,inf,2025-10-16 22:20:13.375885,2025-10-16 22:20:13.378728,0 days 00:00:00.002843,0.06888925356436591,16,512,128,0.459303747980319,0.000849089082043817,6,COMPLETE
131,inf,2025-10-16 22:20:13.378976,2025-10-16 22:20:13.381732,0 days 00:00:00.002756,0.13025677119401435,8,256,16,0.013207897143040524,4.667088275034496e-05,7,COMPLETE
132,inf,2025-10-16 22:20:13.381966,2025-10-16 22:20:13.384998,0 days 00:00:00.003032,0.14345306168463692,8,256,16,0.4818985376629319,2.8881056624459645e-05,8,COMPLETE
133,inf,2025-10-16 22:20:13.385245,2025-10-16 22:20:13.387975,0 days 00:00:00.002730,0.1995533243696244,8,256,16,0.0006693221012741644,3.792905186477596e-05,7,COMPLETE
134,inf,2025-10-16 22:20:13.388214,2025-10-16 22:20:13.391024,0 days 00:00:00.002810,0.15937567756205998,8,256,16,0.04264665645916187,5.527712597775148e-05,8,COMPLETE
135,inf,2025-10-16 22:20:13.391267,2025-10-16 22:20:13.394243,0 days 00:00:00.002976,0.1051034738447913,4,64,16,0.10105747886103732,0.0020219517592092273,8,COMPLETE
136,inf,2025-10-16 22:20:13.394520,2025-10-16 22:20:13.397336,0 days 00:00:00.002816,0.16879025027775624,2,128,32,0.15811622624213997,0.00012730200520259124,6,COMPLETE
137,inf,2025-10-16 22:20:13.397676,2025-10-16 22:20:13.400672,0 days 00:00:00.002996,0.0031359866868451705,16,512,64,0.027441270290752613,0.0006719311717125259,7,COMPLETE
138,inf,2025-10-16 22:20:13.400971,2025-10-16 22:20:13.403755,0 days 00:00:00.002784,0.22475419645272224,8,64,32,0.015140708611637067,0.006492264372726402,5,COMPLETE
139,inf,2025-10-16 22:20:13.403996,2025-10-16 22:20:13.406766,0 days 00:00:00.002770,0.2571686356910452,16,128,16,0.18574554511315744,1.928850317356756e-05,6,COMPLETE
140,inf,2025-10-16 22:20:13.407006,2025-10-16 22:20:13.409996,0 days 00:00:00.002990,0.4190173602401564,8,256,128,0.06806285464519504,0.002553349008165975,3,COMPLETE
141,inf,2025-10-16 22:20:13.410241,2025-10-16 22:20:13.413010,0 days 00:00:00.002769,0.4746037215007669,2,64,16,0.22522606209164797,2.897479212595338e-05,5,COMPLETE
142,inf,2025-10-16 22:20:13.413245,2025-10-16 22:20:13.416133,0 days 00:00:00.002888,0.49482194928681267,2,64,16,0.39482855097844394,2.6033249917361497e-05,4,COMPLETE
143,inf,2025-10-16 22:20:13.416423,2025-10-16 22:20:13.419406,0 days 00:00:00.002983,0.11781546018427821,2,64,16,0.1717007598988629,4.7662374226163904e-05,4,COMPLETE
144,inf,2025-10-16 22:20:13.419672,2025-10-16 22:20:13.422530,0 days 00:00:00.002858,0.4854223038818024,2,64,16,0.25183140505060286,3.5474097637023554e-05,6,COMPLETE
145,inf,2025-10-16 22:20:13.422786,2025-10-16 22:20:13.425912,0 days 00:00:00.003126,0.14856280522059373,2,512,16,0.2007282380167966,7.853961881404432e-05,2,COMPLETE
146,inf,2025-10-16 22:20:13.426162,2025-10-16 22:20:13.429125,0 days 00:00:00.002963,0.4615040744172775,16,64,32,0.08919743955513415,1.2850715688863918e-05,6,COMPLETE
