순번,매장명,사업자번호,주소
163,파스타스토어 왕십리점,2421102312,서울특별시 성동구 왕십리로31길 16 (하왕십리동)1층
164,도미노피자 왕십리점,8477700513,서울특별시 성동구 난계로 81 (하왕십리동)1층
165,수제탕수육 명가 홍탕 성동직영점,8380502257,서울특별시 성동구 왕십리로24길 29 (왕십리도선동)103호
166,밥뚝딱 김치&부대찌개,5860401592,서울특별시 성동구 장터길 40-4 (금호동4가)외8필지 1층
167,하이김밥,4574600830,"서울특별시 성동구 사근동길 6 (행당동, 한양제일빌딩)1층"
168,피자파는집,2421102312,서울특별시 성동구 왕십리로31길 16 (하왕십리동)1층
169,우리동네휴게소 바베큐치킨,4648502102,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 101동)아이동 1층 151호"
170,63쌈 숯불석쇠구이,8510802571,"서울특별시 성동구 행당로 87 (행당동, 행당동대림아파트 대림 리빙프라자)제리빙프라동 3층 343호"
171,용답시장 허브나무,2420502437,서울특별시 성동구 용답중앙23길 13 (용답동 )1층
172,고기반 햄반 김치찌개&김치찜 금호점,6903301265,서울특별시 성동구 장터길 21-1 (금호동3가 )1층
173,이키가이 돈카츠,4971701967,서울특별시 성동구 뚝섬로 341-18 (성수동1가 )지하1층
174,등촌샤브칼국수 금호점,2440302462,서울특별시 성동구 금호산길 65 (금호동2가 )2층
175,선주냉면,5520902458,서울특별시 성동구 무학로6길 33 (홍익동 )1층
176,프리미엄 과일 신선도,5581602037,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 I동)142호"
177,소코아 뚝섬점,7244300888,서울특별시 성동구 상원1길 35-22 (성수동1가 )2층
178,홍익스테이크 왕십리점,5813701256,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스 101동)I동 1층 123호"
179,네네치킨 성수점,6700200818,서울특별시 성동구 성덕정길 27 (성수동1가 )1층
180,poke all day 포케&샐러드 행당점,4448502506,서울특별시 성동구 고산자로 194 (행당동 )2층
181,리프레쉬먼트,2581501844,"서울특별시 성동구 상원길 77 (성수동1가, 성수동우방아파트 상가)생활편익시설동 1층 101호"
182,홍콩반점0410 포장 한양대점,4591202047,"서울특별시 성동구 마조로 25 (행당동, 제일빌딩 )지하1층"
183,배떡 성수점,2402300873,서울특별시 성동구 성덕정길 127 (성수동2가 )1층
184,그린 바이트(GREEN BITE),4692501477,"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌 101동)101동 160호"
185,이유있는반찬 금호직영점,8037200518,서울특별시 성동구 장터길 13-1 (금호동3가 )1층
186,홍콩반점0410 한양대점,4591202047,"서울특별시 성동구 마조로 25 (행당동, 제일빌딩 )지하1층"
187,이태리키친 왕십리점,5520902458,서울특별시 성동구 무학로6길 33 (홍익동 )1층
188,저당 다이어트 건강한식,7994001070,서울특별시 성동구 무학봉28길 4-1 (하왕십리동 )지2층 B203호
189,임금님고기밥상 건대점,5476300620,"서울특별시 성동구 동일로 143 (성수동2가, 성수1차 대우아파트 )1층 102호"
190,즐거울락곱새 건대점,5476300620,"서울특별시 성동구 동일로 143 (성수동2가, 성수1차 대우아파트 )1층 102호"
191,고기듬뿍비빔밥 연구소 건대점,5476300620,"서울특별시 성동구 동일로 143 (성수동2가, 성수1차 대우아파트 )1층 102호"
192,짜글이보글이 건대점,5476300620,"서울특별시 성동구 동일로 143 (성수동2가, 성수1차 대우아파트 )1층 102호"
